Genealogical Records and Historical Personalities of Early America - Table 1
Full Name,Birth Date,Birth Place,Death Date,Spouse(s),Historical Significance,Related Locations,Key Family Connections,Source
Meriwether Lewis,1774,"Locust Hill, Albemarle County, Virginia",October 1809,Not in source,Leader of the Lewis and Clark Expedition exploring the Louisiana Purchase; Governor of the Louisiana Territory; Secretary to President Thomas Jefferson; Captain in the 1st U.S. Infantry.,"Albemarle Co., VA; St. Louis, MO; Philadelphia, PA; Fort Mandan; Fort Clatsop; Chickasaw Bluffs, TN; Charlottesville, VA",William Lewis (Father); Lucy Marks (Mother); Reuben Lewis (Brother); Nicholas Meriwether (Great-great-grandfather); Cousin of James Lewis.,1-3
William Chapman Whitley,"August 14, 1749","Augusta County, Virginia","October 5, 1813",Esther Gill Fullen (married c. 1770/1771),"Kentucky pioneer and Indian fighter; built the first brick house west of the Blue Ridge Mountains; served as a Private in John Davidson's company, Kentucky Mounted Infantry in the War of 1812; died at the Battle of the Thames.","Augusta Co., VA; Cedar Creek (near Crab Orchard), KY; Thamesville/Chatham, Ontario, Canada.","Son of Solomon Whitley and Elizabeth Barnett; brother of Sarah Whitley Lewis; father of Elizabeth, Isabella, Levisa, Solomon, William, Andrew, and five others.",4-7
Thomas Gresham,"December 10, 1761 (c. 1761)","Amherst County, Virginia",1816,Mary Thornton (married 1793); A Thornton girl (unconfirmed),"Revolutionary War private (3rd Virginia Regiment); Served at Valley Forge; First white settler in Lauderdale County, Alabama; Signer of the Doublehead petition.","Amherst County, VA; Valley Forge; Wilkes/Oglethorpe County, GA; Lawrence Co., TN; Lauderdale Co., AL; Green Hill, AL.","Son of George Gresham and Elizabeth Watts; Father of Philemon, Jarred, and Mollie Leona's grandfather.",8-10
William Clark,Not in source,Not in source,Not in source,Julia Hancock,Co-leader of the Lewis and Clark Expedition; General in the U.S. Army; Superintendent of Indian Affairs; Founder of Clark's Indian Museum in St. Louis.,"St. Louis, MO; Fort Mandan; Fort Clatsop; Fincastle, VA",George Rogers Clark (Brother); Julia Clark (Wife),1
John Lewis,1678,Northern Ireland,1762,Not in source,"Founder of Staunton, Virginia; co-founder of Augusta County; wealthy landowner and magistrate involved in frontier expansion.","Northern Ireland; Shenandoah Valley, Virginia.",Father of General Andrew Lewis and Thomas Lewis.,2
Joseph Francis Lewis,c. 1750-1756,England or Ireland,c. 1825-1828,"Sarah Whitley (married January 2, 1779)","Brickmason; early American settler in Kentucky; Lieutenant Colonel in the Kentucky Militia (1792); Private in the War of 1812 (7th Regiment, Kentucky Militia).","Emigrated from British Isles; settled in Rock Castle County, KY; possibly died in Burkesville, Cumberland County, KY.","Husband of Sarah Whitley; brother-in-law to William Whitley; father of eight children including Samuel, Ruth, and Benjamin.","4, 6"
Dr. Perry Epler Gresham,"December 19, 1907","Covina, California","September 10, 1994",Aleece,President Emeritus and Distinguished Professor of Humanities at Bethany College; Author; Lecturer in Political Economy and Gerontology.,"Covina, CA; Fort Worth, TX; Seattle, WA; Detroit, MI; Bethany, WV; Advance, NC.",Son of George Edward Gresham and Mary Elizabeth Epler Gresham; Father to Glen and Nancy.,11
Grace Darling Lewis Miller,"March 22, 1895","St. Louis, Missouri",Not in source,"Herman Benjamin Miller, M.D.",Historian and researcher; author of numerous papers on Meriwether Lewis and early St. Louis; M.A. in History from the University of Texas.,"St. Louis, MO; Austin, TX; Palm Springs, CA",Jefferson L. Miller (Son); Philip Miller (Son); C. Carter Lewis (Brother); Rhea Vollmar (Sister),1
"Harris Grisham, Sr.",ca. 1750,"Orange County, North Carolina",1830,Mary Woods,Served in the Continental Army during the American Revolution under General Francis Marion.,"Orange County, NC; Sumner County, TN; Smith County, TN.","Father of Harris Jr., Peter, Davis, Joseph, and Nelly.",11
Davis Grisham,"March 16, 1781",Virginia or South Carolina,"November 29, 1872",Sarah (Sally) Gregory,"Served in the War of 1812 in Captain James Tubbs' Company, 2nd Regiment, Tenn. Militia.","Virginia/South Carolina; Smith County, TN; Pope County, IL.","Son of Harris Grisham, Sr.; Father of 13 children including William, Polly, and Wiley M.",11
John Gresham,1613,England,c. 1656,Mary Playce,Immigrant to America; Planter; Signed Northumberland Oath of Allegiance to the Commonwealth of England (1652).,"England; Virginia; Isle of Kent, Maryland; Northumberland County, VA.","Son of Sir Edward Gresham and Mary Clarke; Brother to Edward; Father to John, Mary, Martha, Katherine, and Justinian.",11
Edward Gresham,c. 1630 Estimated,England,before 1704,Unknown (Unknown) Gresham,Immigrant to Virginia (1650); held extensive land patents in New Kent (King and Queen) County; Headright Patent recipient.,"England to New Kent County, VA (Axolls Swamp).","Assumed father of Thomas, John, Edward, and George Gresham of the 1704 Quit Rent Rolls.",12
Timothy Perkins,Baptized 27 Jun 1736,"New Haven, New Haven Co., CT",during or after 1783,Mariam Sperry; Ann Sturgill (reported),Loyalist during the American Revolution; Served in Jackson's Creek Militia and Little River Militia (Loyalist units).,"New Haven, CT; Wilkes Co., NC; Ashe Co., NC; Grayson Co., VA",Joseph Perkins (Father); Jabez Perkins (Son); Joseph Perkins (Brother),13
Jabez Perkins,"Nov 6, 1766","New Haven, New Haven Co., CT",c. 1836,Unknown (1st); Nancy White (2nd),Farmer; Subject of genealogical research focusing on Loyalist and Methodist family background; participant in court case Jabez Perkins vs. Elisha Blevins.,"New Haven, CT; Wilkes Co., NC; Grayson Co., VA; Knox Co., KY; Whitley Co., KY; Bureau Co., IL; Putnam Co., IL",Timothy Perkins (Father); Joseph Perkins (Paternal Uncle); William Sperry (Maternal Uncle),13
